브랜드,SKU ID,SKU 명,등록가,pid,iid,vid,url,플래그,메모
윰,34675846,윰스 불 뿜는 공룡이 풍선 89cm 2종 1세트,,,,,https://www.coupang.com/vp/products/7257356585?itemId=18476364273&vendorItemId=85616293137,1개 번들 중단,
윰,34961457,윰스 생일파티 스마일 플라워 고깔 화이트 + 옐로우 2세트,,,,,https://www.coupang.com/vp/products/7279202459?itemId=18581095900&vendorItemId=85717731635,1개 번들 중단,
윰,35257027,윰스 크아앙 공룡 스틱형 풍선 4종 1세트,,,,,https://www.coupang.com/vp/products/7300578225?itemId=18681036187&vendorItemId=85815199616,1개 번들 중단,
윰,44703024,윰스 심플 컬러 마스킹 테이프 디스펜서 아이보리 1개,,,,,https://www.coupang.com/vp/products/8022640103?itemId=22418862371&vendorItemId=89463619103,1개 번들 중단,
윰,47110112,윰스 파티장식 데코 수술 파티커튼 은박실버 5개,,,,,http://coupang.com/vp/products/8144607528?itemId=23153610477&vendorItemId=90186439790,1개 번들 중단,
윰,47110115,윰스 파티장식 데코 수술 파티커튼 유광바이올렛 5개,,,,,https://www.coupang.com/vp/products/8144607528?itemId=23153610506&vendorItemId=90186439851,1개 번들 중단,
윰,47110118,윰스 파티장식 데코 수술 파티커튼 유광그린 5개,,,,,https://www.coupang.com/vp/products/8144607528?itemId=23153610524&vendorItemId=90186439895,1개 번들 중단,
윰,47110145,윰스 파티장식 데코 수술 파티커튼 유광화이트 5개,,,,,https://www.coupang.com/vp/products/8144607528?itemId=23153610624&vendorItemId=90186440178,1개 번들 중단,
윰,47110146,윰스 파티장식 데코 수술 파티커튼 금박골드 5개,,,,,https://www.coupang.com/vp/products/8144607528?itemId=23153610633&vendorItemId=90186440197,1개 번들 중단,
윰,47551761,윰스 파스텔 바인더 12칸 아코디언 파일 블루 1개,,,,,https://www.coupang.com/vp/products/8171163989?itemId=23338786719&vendorItemId=90370309418,1개 번들 중단,
윰,47551766,윰스 파스텔 바인더 12칸 아코디언 파일 민트 1개,,,,,https://www.coupang.com/vp/products/8171163989?itemId=23338786738&vendorItemId=90370309452,1개 번들 중단,
윰,53039847,윰스 이벤트 풍선 일반 혼합색상 50개,,,,,https://www.coupang.com/vp/products/8441790041?itemId=24418502597&vendorItemId=91432955483,1개 번들 중단,
윰,53039848,윰스 마카롱컬러 이벤트풍선 50개입 혼합색상 1개,,,,,https://www.coupang.com/vp/products/8441790040?itemId=24418502595&vendorItemId=91432955480,1개 번들 중단,
윰,53039849,윰스 빈티지믹스 이벤트풍선 혼합색상 50개,,,,,https://www.coupang.com/vp/products/8441790076?itemId=24418502769&vendorItemId=91432955602,1개 번들 중단,
